arm,start_time_months,end_time_months,survival
pembro_chemo,0.1719,0.5903,1.00000
pembro_chemo,0.6165,1.1657,0.98092
pembro_chemo,1.5056,1.8979,0.97283
pembro_chemo,1.9241,2.1071,0.96763
pembro_chemo,2.1333,2.1594,0.96243
pembro_chemo,2.4471,2.5256,0.94509
pembro_chemo,2.6040,3.4147,0.93931
pembro_chemo,3.8593,3.8855,0.92081
pembro_chemo,4.2254,4.3039,0.91156
pembro_chemo,4.3300,4.9315,0.88844
pembro_chemo,5.0623,5.4546,0.87861
pembro_chemo,5.4807,5.9253,0.86647
pembro_chemo,5.9515,6.0299,0.85029
pembro_chemo,6.0561,6.1345,0.81965
pembro_chemo,6.1607,6.2914,0.81445
pembro_chemo,6.3176,6.3437,0.80058
pembro_chemo,6.3699,6.3960,0.78671
pembro_chemo,6.4745,6.5006,0.76936
pembro_chemo,6.5791,7.0237,0.76358
pembro_chemo,7.0498,7.5990,0.74509
pembro_chemo,7.7298,7.9128,0.73699
pembro_chemo,7.9390,7.9651,0.73237
pembro_chemo,7.9913,8.1221,0.72197
pembro_chemo,8.1482,8.1744,0.71387
pembro_chemo,8.2005,8.2267,0.70578
pembro_chemo,8.2528,8.4359,0.68035
pembro_chemo,8.4620,8.5928,0.66301
pembro_chemo,8.6189,8.9589,0.63642
pembro_chemo,8.9851,9.1681,0.63179
pembro_chemo,9.1943,9.2727,0.62601
pembro_chemo,9.2989,9.5866,0.61908
pembro_chemo,9.6127,9.6389,0.61329
pembro_chemo,9.6650,10.2142,0.60636
pembro_chemo,10.2404,10.3711,0.59480
pembro_chemo,10.3973,10.4234,0.59017
pembro_chemo,10.4496,10.5803,0.57341
pembro_chemo,10.6065,10.7372,0.56936
pembro_chemo,10.7634,10.9988,0.56243
pembro_chemo,11.0249,11.2080,0.53931
pembro_chemo,11.2864,11.5741,0.53121
pembro_chemo,11.6003,12.6725,0.52081
pembro_chemo,12.7509,12.7771,0.51734
pembro_chemo,12.8032,12.9863,0.51040
pembro_chemo,13.0125,13.0909,0.49884
pembro_chemo,13.1694,13.2478,0.49191
pembro_chemo,13.2740,13.4047,0.48555
pembro_chemo,13.4309,13.4570,0.48150
pembro_chemo,13.4832,13.6663,0.47572
pembro_chemo,13.6924,13.8755,0.47110
pembro_chemo,13.9016,14.7123,0.46416
pembro_chemo,14.7385,14.9215,0.45491
pembro_chemo,14.9477,15.2354,0.44913
pembro_chemo,15.2615,15.4446,0.44220
pembro_chemo,15.4707,18.4259,0.43295
pembro_chemo,18.4521,18.6351,0.42139
pembro_chemo,18.6613,19.0535,0.41214
pembro_chemo,19.0797,19.1059,0.40058
pembro_chemo,19.1320,19.3151,0.38844
pembro_chemo,19.3935,26.9514,0.35896
pembro_chemo,26.9776,27.1606,0.33121
pembro_chemo,27.1868,30.2466,0.30578
